mode,numerator,denominator,onsets,groupedDigitsString,canonicalContour
hex,4,1,1,"0 0 0 1",""
hex,4,1,1,"0 0 0 2",""
hex,4,1,1,"0 0 0 4",""
hex,4,1,1,"0 0 0 8",""
hex,4,1,1,"0 0 1 0",""
hex,4,1,1,"0 0 2 0",""
hex,4,1,1,"0 0 4 0",""
hex,4,1,1,"0 0 8 0",""
hex,4,1,1,"0 1 0 0",""
hex,4,1,1,"0 2 0 0",""
hex,4,1,1,"0 4 0 0",""
hex,4,1,1,"0 8 0 0",""
hex,4,1,1,"1 0 0 0",""
hex,4,1,1,"2 0 0 0",""
hex,4,1,1,"4 0 0 0",""
hex,4,1,1,"8 0 0 0",""
hex,4,1,2,"0 0 0 3","DU"
hex,4,1,2,"0 0 0 5","DU"
hex,4,1,2,"0 0 0 6","DU"
hex,4,1,2,"0 0 0 9","DU"
hex,4,1,2,"0 0 0 A","DU"
hex,4,1,2,"0 0 0 C","DU"
hex,4,1,2,"0 0 1 1","DU"
hex,4,1,2,"0 0 1 2","DU"
hex,4,1,2,"0 0 1 4","DU"
hex,4,1,2,"0 0 1 8","DU"
hex,4,1,2,"0 0 2 1","DU"
hex,4,1,2,"0 0 2 2","DU"
hex,4,1,2,"0 0 2 4","DU"
hex,4,1,2,"0 0 2 8","DU"
hex,4,1,2,"0 0 3 0","DU"
hex,4,1,2,"0 0 4 1","DU"
hex,4,1,2,"0 0 4 2","DU"
hex,4,1,2,"0 0 4 4","DU"
hex,4,1,2,"0 0 4 8","DU"
hex,4,1,2,"0 0 5 0","DU"
hex,4,1,2,"0 0 6 0","DU"
hex,4,1,2,"0 0 8 1","DU"
hex,4,1,2,"0 0 8 2","DU"
hex,4,1,2,"0 0 8 4","DU"
hex,4,1,2,"0 0 8 8","DU"
hex,4,1,2,"0 0 9 0","DU"
hex,4,1,2,"0 0 A 0","DU"
hex,4,1,2,"0 0 C 0","DU"
hex,4,1,2,"0 1 0 2","DU"
hex,4,1,2,"0 1 0 4","DU"
hex,4,1,2,"0 1 0 8","DU"
hex,4,1,2,"0 1 1 0","DU"
hex,4,1,2,"0 1 2 0","DU"
hex,4,1,2,"0 1 4 0","DU"
hex,4,1,2,"0 1 8 0","DU"
hex,4,1,2,"0 2 0 1","DU"
hex,4,1,2,"0 2 0 4","DU"
hex,4,1,2,"0 2 0 8","DU"
hex,4,1,2,"0 2 1 0","DU"
hex,4,1,2,"0 2 2 0","DU"
hex,4,1,2,"0 2 4 0","DU"
hex,4,1,2,"0 2 8 0","DU"
hex,4,1,2,"0 3 0 0","DU"
